Phylum	FBIP_D0684	FBIP_D0683	FBIP_D0682	FBIP_D0681	FBIP_D0680	FBIP_D0679	FBIP_D0678	FBIP_D0677	FBIP_D0676	FBIP_D0675	FBIP_D0674	FBIP_D0673	FBIP_D0672	FBIP_D0671	FBIP_D0670	FBIP_D0669	FBIP_D0668	FBIP_D0667	FBIP_D0666	FBIP_D0665	FBIP_D0664	FBIP_D0663	FBIP_D0661	FBIP_D0660	FBIP_D0659	FBIP_D0658	FBIP_D0657	FBIP_D0656	FBIP_D0655	FBIP_D0654	FBIP_D0653	FBIP_D0652	FBIP_D0651	FBIP_D0650	FBIP_D0649	FBIP_D0648	FBIP_D0647	FBIP_D0646	FBIP_D0645	FBIP_D0644	FBIP_D0643	FBIP_D0642	FBIP_D0641	FBIP_D0640	FBIP_D0639	FBIP_D0638	FBIP_D0637	FBIP_D0636	FBIP_D0635	FBIP_D0634	FBIP_D0633	FBIP_D0632	FBIP_D0630	FBIP_D0629	FBIP_D0628	FBIP_D0627	FBIP_D0626	FBIP_D0623	FBIP_D0622	FBIP_D0621	FBIP_D0620	FBIP_D0619	FBIP_D0618	FBIP_D0617	FBIP_D0615	FBIP_D0614	FBIP_D0613	FBIP_D0612	FBIP_D0611	FBIP_D0610	FBIP_D0609	FBIP_D0608	FBIP_D0607	FBIP_D0606	FBIP_D0605	FBIP_D0604	FBIP_D0603	FBIP_D0602	FBIP_D0601	FBIP_D0600	FBIP_D0599	FBIP_D0598	FBIP_D0597	FBIP_D0596	FBIP_D0595	FBIP_D0594	FBIP_D0593	FBIP_D0592	FBIP_D0591	FBIP_D0590	FBIP_D0589	FBIP_D0588	FBIP_D0587	FBIP_D0586	FBIP_D0585	FBIP_D0584	FBIP_D0583	FBIP_D0582	FBIP_D0581	FBIP_D0580	FBIP_D0579	FBIP_D0578	FBIP_D0577	FBIP_D0576	FBIP_D0575	FBIP_D0574	FBIP_D0573	FBIP_D0572	FBIP_D0571	FBIP_D0570	FBIP_D0569	FBIP_D0568	FBIP_D0567	FBIP_D0566	FBIP_D0565	FBIP_D0564	FBIP_D0563	FBIP_D0562	FBIP_D0561	FBIP_D0560	FBIP_D0559	FBIP_D0558	FBIP_D0557	FBIP_D0556	FBIP_D0555	FBIP_D0554	FBIP_D0553	FBIP_D0552	FBIP_D0551	FBIP_D0550	FBIP_D0549	FBIP_D0548	FBIP_D0547	FBIP_D0546	FBIP_D0545	FBIP_D0544	FBIP_D0543	FBIP_D0542	FBIP_D0541	FBIP_D0540	FBIP_D0539	FBIP_D0538	FBIP_D0537	FBIP_D0536	FBIP_D0535	FBIP_D0534	FBIP_D0533	FBIP_D0532	FBIP_D0531	FBIP_D0530	FBIP_D0529	FBIP_D0528	FBIP_D0527	FBIP_D0526	FBIP_D0525	FBIP_D0524	FBIP_D0523	FBIP_D0522	FBIP_D0521	FBIP_D0520	FBIP_D0519	FBIP_D0518	FBIP_D0517	FBIP_D0516	FBIP_D0515	FBIP_D0514	FBIP_D0513	FBIP_D0512	FBIP_D0511	FBIP_D0510	FBIP_D0509	FBIP_D0508	FBIP_D0507	FBIP_D0506	FBIP_D0504	FBIP_D0503	FBIP_D0502	FBIP_D0501	FBIP_D0500	FBIP_D0499	FBIP_D0498	FBIP_D0497	FBIP_D0496	FBIP_D0495	FBIP_D0494	FBIP_D0493	FBIP_D0492	FBIP_D0491	FBIP_D0489	FBIP_D0488	FBIP_D0487	FBIP_D0486	FBIP_D0485	FBIP_D0484	FBIP_D0483	FBIP_D0482	FBIP_D0481	FBIP_D0480	FBIP_D0479	FBIP_D0478	FBIP_D0477	FBIP_D0476	FBIP_D0475	FBIP_D0474	FBIP_D0473	FBIP_D0472	FBIP_D0471	FBIP_D0470	FBIP_D0469	FBIP_D0468	FBIP_D0467	FBIP_D0466	FBIP_D0465	FBIP_D0464	FBIP_D0463	FBIP_D0462	FBIP_D0461	FBIP_D0460	FBIP_D0459	FBIP_D0458	FBIP_D0457	FBIP_D0456	FBIP_D0455	FBIP_D0454	FBIP_D0453	FBIP_D0452	FBIP_D0451	FBIP_D0450	FBIP_D0449	FBIP_D0448	FBIP_D0447	FBIP_D0446	FBIP_D0445	FBIP_D0444	FBIP_D0443	FBIP_D0442	FBIP_D0441	FBIP_D0440	FBIP_D0439	FBIP_D0438	FBIP_D0437	FBIP_D0436	FBIP_D0435	FBIP_D0434	FBIP_D0433	FBIP_D0432	FBIP_D0431	FBIP_D0430	FBIP_D0429	FBIP_D0428	FBIP_D0427	FBIP_D0426	FBIP_D0425	FBIP_D0424	FBIP_D0423	FBIP_D0422	FBIP_D0421	FBIP_D0420	FBIP_D0419	FBIP_D0418	FBIP_D0417	FBIP_D0416	FBIP_D0415	FBIP_D0414	FBIP_D0413	FBIP_D0412	FBIP_D0411	FBIP_D0410	FBIP_D0409	FBIP_D0406	FBIP_D0405	FBIP_D0404	FBIP_D0403	FBIP_D0402	FBIP_D0401	FBIP_D0400	FBIP_D0397	FBIP_D0395	FBIP_D0394	FBIP_D0393	FBIP_D0392	FBIP_D0391	FBIP_D0390	FBIP_D0389	FBIP_D0388	FBIP_D0387	FBIP_D0386	FBIP_D0385	FBIP_D0384	FBIP_D0383	FBIP_D0382	FBIP_D0381	FBIP_D0380	FBIP_D0378	FBIP_D0377	FBIP_D0376	FBIP_D0375	FBIP_D0374	FBIP_D0373	FBIP_D0372	FBIP_D0371	FBIP_D0370	FBIP_D0369	FBIP_D0368	FBIP_D0367	FBIP_D0366	FBIP_D0365	FBIP_D0363	FBIP_D0362	FBIP_D0361	FBIP_D0360	FBIP_D0359	FBIP_D0358	FBIP_D0357	FBIP_D0356	FBIP_D0355	FBIP_D0354	FBIP_D0353	FBIP_D0352	FBIP_D0351	FBIP_D0350	FBIP_D0349	FBIP_D0348	FBIP_D0347	FBIP_D0346	FBIP_D0345	FBIP_D0344	FBIP_D0343	FBIP_D0342	FBIP_D0341	FBIP_D0340	FBIP_D0339	FBIP_D0338	FBIP_D0337	FBIP_D0336	FBIP_D0335	FBIP_D0334	FBIP_D0333	FBIP_D0332	FBIP_D0331	FBIP_D0330	FBIP_D0329	FBIP_D0328	FBIP_D0327	FBIP_D0326	FBIP_D0325	FBIP_D0324	FBIP_D0323	FBIP_D0322	FBIP_D0321	FBIP_D0320	FBIP_D0319	FBIP_D0318	FBIP_D0317	FBIP_D0316	FBIP_D0315	FBIP_D0314	FBIP_D0313	FBIP_D0312	FBIP_D0311	FBIP_D0310	FBIP_D0309	FBIP_D0308	FBIP_D0307	FBIP_D0306	FBIP_D0305	FBIP_D0304	FBIP_D0303	FBIP_D0302	FBIP_D0301	FBIP_D0300	FBIP_D0299	FBIP_D0298	FBIP_D0297	FBIP_D0296	FBIP_D0295	FBIP_D0294	FBIP_D0293	FBIP_D0292	FBIP_D0291	FBIP_D0290	FBIP_D0289	FBIP_D0288	FBIP_D0287	FBIP_D0286	FBIP_D0285	FBIP_D0284	FBIP_D0283	FBIP_D0282	FBIP_D0281	FBIP_D0280	FBIP_D0279	FBIP_D0278	FBIP_D0277	FBIP_D0276	FBIP_D0275	FBIP_D0274	FBIP_D0273	FBIP_D0272	FBIP_D0271	FBIP_D0270	FBIP_D0269	FBIP_D0268	FBIP_D0267	FBIP_D0266	FBIP_D0265	FBIP_D0264	FBIP_D0263	FBIP_D0262	FBIP_D0261	FBIP_D0260	FBIP_D0259	FBIP_D0258	FBIP_D0257	FBIP_D0256	FBIP_D0255	FBIP_D0254	FBIP_D0252	FBIP_D0251	FBIP_D0250	FBIP_D0249	FBIP_D0248	FBIP_D0247	FBIP_D0246	FBIP_D0245	FBIP_D0244	FBIP_D0243	FBIP_D0242	FBIP_D0241	FBIP_D0240	FBIP_D0239	FBIP_D0237	FBIP_D0236	FBIP_D0235	FBIP_D0234	FBIP_D0233	FBIP_D0232	FBIP_D0231	FBIP_D0230	FBIP_D0229	FBIP_D0228	FBIP_D0227	FBIP_D0226	FBIP_D0225	FBIP_D0224	FBIP_D0223	FBIP_D0221	FBIP_D0220	FBIP_D0219	FBIP_D0218	FBIP_D0217	FBIP_D0216	FBIP_D0215	FBIP_D0214	FBIP_D0213	FBIP_D0212	FBIP_D0211	FBIP_D0210	FBIP_D0209	FBIP_D0208	FBIP_D0207	FBIP_D0206	FBIP_D0205	FBIP_D0204	FBIP_D0203	FBIP_D0202	FBIP_D0201	FBIP_D0200	FBIP_D0199	FBIP_D0198	FBIP_D0197	FBIP_D0196	FBIP_D0195	FBIP_D0194	FBIP_D0193	FBIP_D0192	FBIP_D0191	FBIP_D0190	FBIP_D0189	FBIP_D0188	FBIP_D0187	FBIP_D0186	FBIP_D0185	FBIP_D0184	FBIP_D0183	FBIP_D0182	FBIP_D0181	FBIP_D0180	FBIP_D0179	FBIP_D0178	FBIP_D0177	FBIP_D0176	FBIP_D0175	FBIP_D0174	FBIP_D0173	FBIP_D0172	FBIP_D0171	FBIP_D0170	FBIP_D0169	FBIP_D0168	FBIP_D0167	FBIP_D0166	FBIP_D0165	FBIP_D0164	FBIP_D0163	FBIP_D0162	FBIP_D0161	FBIP_D0159	FBIP_D0158	FBIP_D0157	FBIP_D0156	FBIP_D0155	FBIP_D0154	FBIP_D0153	FBIP_D0152	FBIP_D0151	FBIP_D0150	FBIP_D0149	FBIP_D0148	FBIP_D0147	FBIP_D0146	FBIP_D0145	FBIP_D0144	FBIP_D0143	FBIP_D0142	FBIP_D0141	FBIP_D0140	FBIP_D0139	FBIP_D0138	FBIP_D0137	FBIP_D0136	FBIP_D0135	FBIP_D0134	FBIP_D0133	FBIP_D0132	FBIP_D0131	FBIP_D0130	FBIP_D0129	FBIP_D0128	FBIP_D0126	FBIP_D0125	FBIP_D0124	FBIP_D0123	FBIP_D0122	FBIP_D0121	FBIP_D0120	FBIP_D0119	FBIP_D0118	FBIP_D0117	FBIP_D0116	FBIP_D0115	FBIP_D0114	FBIP_D0113	FBIP_D0111	FBIP_D0110	FBIP_D0109	FBIP_D0108	FBIP_D0106	FBIP_D0105	FBIP_D0104	FBIP_D0103	FBIP_D0102	FBIP_D0101	FBIP_D0100	FBIP_D0099	FBIP_D0098	FBIP_D0097	FBIP_D0096	FBIP_D0095	FBIP_D0094	FBIP_D0093	FBIP_D0092	FBIP_D0091	FBIP_D0090	FBIP_D0089	FBIP_D0088	FBIP_D0087	FBIP_D0086	FBIP_D0085	FBIP_D0084	FBIP_D0083	FBIP_D0082	FBIP_D0081	FBIP_D0080	FBIP_D0079	FBIP_D0078	FBIP_D0077	FBIP_D0076	FBIP_D0075	FBIP_D0074	FBIP_D0073	FBIP_D0072	FBIP_D0071	FBIP_D0070	FBIP_D0069	FBIP_D0068	FBIP_D0067	FBIP_D0066	FBIP_D0065	FBIP_D0064	FBIP_D0063	FBIP_D0062	FBIP_D0061	FBIP_D0060	FBIP_D0059	FBIP_D0058	FBIP_D0057	FBIP_D0056	FBIP_D0055	FBIP_D0054	FBIP_D0053	FBIP_D0052	FBIP_D0051	FBIP_D0050	FBIP_D0049	FBIP_D0048	FBIP_D0047	FBIP_D0046	FBIP_D0045	FBIP_D0044	FBIP_D0043	FBIP_D0042	FBIP_D0041	FBIP_D0040	FBIP_D0039	FBIP_D0038	FBIP_D0037	FBIP_D0036	FBIP_D0035	FBIP_D0034	FBIP_D0033	FBIP_D0032	FBIP_D0031	FBIP_D0030	FBIP_D0029	FBIP_D0028	FBIP_D0027	FBIP_D0026	FBIP_D0025	FBIP_D0024	FBIP_D0023	FBIP_D0022	FBIP_D0021	FBIP_D0020	FBIP_D0019	FBIP_D0018	FBIP_D0017	FBIP_D0016	FBIP_D0015	FBIP_D0014	FBIP_D0013	FBIP_D0012	FBIP_D0011	FBIP_D0010	FBIP_D0009	FBIP_D0008	FBIP_D0007	FBIP_D0006	FBIP_D0005	FBIP_D0004	FBIP_D0003	FBIP_D0002
p__Euryarchaeota	0.44638	0.66433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4192	0	0	0	0	0	0	0	0	0	0.08182	0	0	0.18188	0	0	1.75196	0	0.00059	0	0	0	0	0	0	0	0	0	5.81345	0	0.33823	0	0	2.71205	0	0	0	0	0	0.10179	0	0	0	0	0	0	0.14162	0	0.61551	0.12718	0	0	0	0	0	0.01243	0	0.11046	0	1.3714	0.01038	0	0.08001	0.03308	0.26698	0	0.28968	0	0	0	0.1576	0	0.0044	0	0	0	14.08462	0	0	0.03544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35428	0	0	0	0	2.80676	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72431	0	0	0	0	0.10513	0	0.17987	0	0	0	0	0	0	0	0	0	0	0.11103	0	0	0	0	0	0	0	0	0	0	0.02437	0.25154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09391	0	0	0	0	0	0	0	0.01755	0	0	0	0.59694	0	0	0	0.64377	0	0	0	0	0	0	0	0	0	0.10803	0	0	0	0	0	0	1.29345	0	0	0	0.55666	0	0	0	0	0	0.36274	0	2.45771	0	0	0	0	0	0	0	0	0	0.52538	0	0	0.96425	0	0	0	0.06116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16377	0	0	0	0	0	0	0	4.38917	0	0	0	0	0	0.20032	0	0	0	0	0.65998	0	0	0	0.4485	0	0	0	0	0	0	0	0	0	0.15143	0	0	0	0	0	0	0.05342	0	0	0	0	0	0	0	0.04081	0	0	0	0	0	0	0	0	0	0	0.21035	0	0	0	0	0	0	0	0	0	0	0.10943	0	0.04137	0.58309	0	0	0	7.9178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0356	0.1773	0	0	0	0	0	0	0	0	0	0.00188	0	0	0	0.57826	0	0	0.04169	0	0	0	0	2.6147	0.09349	0	0	0	0	0	0.72511	0	2.12391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19677	0	0	0	0	0	0.03754	0	0	0	0	0	0	0	0	0	0	0	0.22027	0	0	0	0	0.33137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13993	0	0	0	0	0	0	0	0	0	0.04135	0	0.01114	0	0.0816	0.52034	0	3.47177	0	2.81833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09855	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33073	0	0.00237	5.92203	0	0	0	0	0	0	0	0.097	0	0	0	0	0.53334	0.54235	0	0	0	0	0	0	0	0	0	0	0	0	0.2732	0	0.05461	0	0	0.07926	0.86683	0	0	0	3.99743	0	0	0	0	0	0	0	0	0.01327	0	0	0	0	0	0	0	0	0	0	0	0	0.03796	0	0	0	0.01656	0	0	0	0
p__Actinobacteria	6.53301	3.81097	2.81095	13.00801	8.44392	4.50362	13.01627	9.87094	0.51062	3.85811	13.00124	11.74221	3.70905	2.5039	12.22393	8.90356	11.43431	7.64052	1.81528	7.12768	3.6645	5.78474	4.47621	8.56593	3.93888	0.36844	10.78314	5.41915	15.94864	7.4008	9.04519	3.65182	3.45941	7.56975	8.72414	21.3309	13.13929	12.58536	1.3791	7.15525	4.98035	5.3256	8.79835	1.34584	8.90532	4.55832	5.73015	10.50109	2.42763	14.92349	11.21261	5.22298	5.01072	0.35763	6.15182	12.2618	14.51325	12.74315	12.75305	14.09546	9.94231	5.33467	4.76212	17.62991	17.01881	1.29474	17.65855	12.41155	7.21364	11.31568	10.24048	0.63668	12.18327	19.99633	10.80274	18.53865	13.36484	16.1552	2.79346	44.98081	7.63516	1.23438	1.88568	9.31579	10.38549	11.94727	2.79886	0.8431	7.79718	27.50252	4.51772	1.94845	6.8951	2.82158	7.37405	6.1709	16.46453	26.63044	4.93518	4.85726	19.70167	9.73299	11.18381	0.88066	7.24812	11.85467	17.19816	7.19169	18.93914	1.1958	5.53741	3.4021	13.36765	15.72165	3.52782	2.40409	11.7284	9.51771	8.4034	6.26585	7.50239	1.44722	7.53336	10.01922	4.40772	1.52719	11.23769	7.6079	7.42234	2.23603	3.13004	6.30598	7.58992	2.05858	3.61263	3.56214	7.95787	28.00244	8.23458	4.44959	8.36209	14.37808	3.07532	5.23053	2.39909	0.08527	0.22618	4.5821	0.65396	12.13709	8.45195	8.24926	7.18176	16.30529	4.52304	5.57341	10.97002	4.61229	9.15962	10.8789	21.60225	2.01567	10.61087	15.91285	7.77414	9.67585	3.41825	27.66652	7.33136	14.4488	4.82495	17.53212	14.58227	4.74641	5.72435	8.18354	3.91374	1.79769	1.3466	13.54879	13.78258	7.19515	7.5911	1.90945	10.20376	0.61218	12.80853	15.38671	3.57363	4.84651	4.09431	4.67704	3.18277	8.12741	0.91419	6.52171	8.71855	1.87613	0.48567	3.18334	5.87345	33.24217	5.2654	15.81444	10.10051	6.13478	3.24856	0.68876	5.57499	8.85894	3.50034	7.89769	6.23023	2.64723	14.40502	5.14438	12.38449	30.1643	17.17597	1.89021	28.46674	26.37	13.74796	20.08065	23.28158	3.82779	2.99771	6.57028	6.62347	10.63714	5.07601	4.99284	2.08214	2.2647	0.8033	5.70767	16.27251	4.04245	6.35759	2.34039	2.2724	2.80138	8.66623	8.87643	4.79881	7.10526	6.57916	4.9565	7.60055	3.1549	5.36956	7.35452	3.11086	3.16206	12.51357	2.15818	1.55024	5.14334	6.16221	25.11953	17.12861	12.00325	1.41048	3.90283	1.85177	2.82903	4.36038	2.25374	1.81416	11.76064	8.02562	5.85819	7.56564	1.25091	58.07832	6.18963	2.19825	4.57052	3.95109	17.87715	7.74052	7.41522	8.25349	3.17006	5.44825	8.65301	7.87656	34.26508	6.10817	7.37474	13.96073	21.48146	12.54945	3.69703	8.69128	1.00652	9.86972	27.83819	14.17942	3.66316	21.40785	5.54737	4.48613	9.41171	3.56367	34.08987	8.32175	0.82273	11.95758	19.79804	2.53094	10.28257	3.25327	22.68046	1.23503	2.35584	32.70835	4.95144	16.14954	15.16612	15.25639	12.32865	4.00495	4.87235	5.6891	3.93459	6.37445	8.71749	2.20093	3.91256	23.0135	5.39047	4.82091	24.02218	3.16789	3.80614	14.11025	5.84563	2.43024	6.75685	15.41827	14.94252	6.49899	0.91782	7.79457	9.672	12.1987	3.66341	2.0366	6.34533	31.62816	5.94165	8.35594	4.13382	7.42102	2.68092	10.68806	3.43715	26.48235	0.72688	7.11775	1.00313	7.35806	0.85856	11.717	5.19819	3.32701	1.2916	7.17656	17.46388	11.87142	14.04322	16.00367	1.71427	4.30976	9.55071	2.77359	4.56336	10.32438	11.50933	64.96724	3.67015	0.89563	1.7427	9.92549	5.76809	9.57715	4.01202	5.1046	4.86975	8.55432	12.06795	7.21615	1.00687	2.90928	5.68025	4.47692	3.37768	1.64386	7.37909	1.46493	12.74462	23.46593	8.26025	17.79516	4.21147	2.85188	18.89374	3.46003	6.42291	3.62419	2.66091	4.45062	12.57301	2.90504	0.47933	1.34697	4.51966	11.58292	6.98637	3.21551	4.312	5.65422	0.11745	18.9124	3.00551	10.11248	1.77666	2.95573	10.19711	12.03055	5.9863	2.0253	1.18266	2.75071	8.28999	3.92881	16.84711	0.43274	3.95283	3.35543	1.57247	4.52284	11.25565	29.54551	10.08401	5.42939	12.30289	28.47709	0.73593	13.95038	21.55684	13.29073	5.52123	58.78876	9.87734	5.82133	6.7799	8.3551	8.04557	16.86468	8.40494	3.01946	8.72654	8.59828	5.84631	4.28858	0.51755	3.59101	2.36445	4.49629	5.82321	7.62194	11.37411	4.36958	1.65637	3.50843	2.13307	2.98492	9.3497	2.86961	5.37395	4.48572	15.26145	0.38689	5.79648	9.49822	2.75426	13.97025	2.92864	14.13	11.07852	2.23897	19.3345	6.92817	5.61909	6.76771	1.85381	5.38287	1.37017	0.52732	8.20979	20.53563	9.9799	4.38423	14.34473	4.99929	11.59645	1.7968	6.53304	11.20038	1.39728	17.97461	3.09495	2.94771	11.58307	12.85374	0.88079	6.65603	10.97133	12.24406	4.52847	13.50087	12.60774	5.14832	9.91067	1.3009	15.00895	18.53338	2.75905	19.26567	8.39435	8.45289	4.91418	4.8279	8.44158	0.20329	7.96606	8.18131	11.37944	6.46612	5.18086	2.96589	4.74212	2.57514	7.85902	11.70936	1.58617	4.09024	10.68708	4.03212	12.52761	1.48356	4.64629	8.56908	0.90779	4.51011	1.70703	11.64664	3.82297	16.23153	6.74241	14.42323	29.8433	4.91268	4.96269	1.2897	0.87218	4.83357	11.69881	21.59692	2.31767	3.99614	7.45396	8.50509	10.58255	7.02106	11.19132	3.5947	8.73013	2.91307	1.33583	28.02489	15.33276	13.66525	0.31959	2.96953	8.18685	13.42287	2.27698	1.44445	14.14946	14.18417	14.38695	30.96744	7.98479	9.98176	3.0948	0.4237	14.43945	9.8412	11.53173	2.94651	23.99323	11.5533	5.09524	5.81061	7.22662	6.27411	5.03374	8.6455	3.36384	4.56581	2.88424	3.56719	0.90912	3.0415	2.39537	6.10659	4.68235	14.44947	8.15379	2.80544	7.15098	3.53045	12.31598	6.97539	6.75348	4.2724	2.7892	0.9338	13.30339	3.95799	11.47559	5.57433	12.36292	8.88688	6.13709	25.8483	19.30345	8.28465	4.46921	8.8244	7.77713	6.78216	5.75704	2.18952	0.8871	1.74219	7.16316	11.85931	5.41411	5.45326	8.84713	6.92417	4.92687	3.6612	5.77034	15.05477	5.62491	5.70727	6.42122
